mep_id,start_date,end_date,political_group
3,22-12-1990,20-04-1993,Socialist Group
3,21-04-1993,19-07-1999,Group of the Party of European Socialists
9,17-07-1979,16-01-1981,Group of the European People's Party (Christian-Democratic Group)
2,01-01-1986,24-07-1989,European Democratic Group
2,18-10-1991,18-07-1994,Group of the European People's Party (Christian-Democratic Group)
1,05-09-1991,19-07-1999,Group of the European People's Party (Christian-Democratic Group)
1,20-07-1999,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
35,25-11-1990,19-07-1999,Group of the European People's Party (Christian-Democratic Group)
35,20-07-1999,19-07-2004,Group of the European People's Party (Christian Democrats) and European Democrats
7,21-03-1991,18-07-1994,Rainbow Group in the European Parliament
8,23-04-1991,18-07-1994,Group of the European People's Party (Christian-Democratic Group)
1395,17-07-1979,30-04-1992,European Democratic Group
1395,01-05-1992,02-05-1994,Group of the European People's Party (Christian-Democratic Group)
96834,14-07-2009,31-12-2012,Group of the European People's Party (Christian Democrats)
1344,01-01-1986,18-07-1994,Liberal and Democratic Reformist Group
1344,19-07-1994,01-04-2004,"Group of the European Liberal, Democrat and Reform Party"
34482,26-09-2005,09-12-2007,Group of the Alliance of Liberals and Democrats for Europe
233862,18-05-2022,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
28175,20-07-2004,13-07-2009,Socialist Group in the European Parliament
1435,17-07-1979,23-07-1984,Group of European Progressive Democrats
1435,24-07-1984,18-07-1994,Group of the European Democratic Alliance
97017,14-07-2009,08-11-2017,Group of the Greens/European Free Alliance
111011,01-12-2011,31-01-2020,European Conservatives and Reformists Group
124830,01-07-2014,11-04-2016,European Conservatives and Reformists Group
124830,12-04-2016,30-04-2016,Non-attached Members
124830,01-05-2016,01-07-2019,Europe of Nations and Freedom Group
679,27-05-1983,24-07-1983,Group of European Progressive Democrats
28240,20-07-2004,01-07-2019,Group of the Greens/European Free Alliance
96898,14-07-2009,30-06-2014,Group of the European People's Party (Christian Democrats)
4462,20-07-1999,19-07-2004,Group of the European People's Party (Christian Democrats) and European Democrats
4462,14-07-2009,30-06-2014,Group of the European People's Party (Christian Democrats)
28573,20-07-2004,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
34174,28-07-2005,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
2216,19-07-1994,10-11-1996,Europe of Nations Group (Coordination Group)
2216,11-11-1996,12-01-1997,Non-attached
2216,13-01-1997,19-07-1999,Group of Independents for a Europe of Nations
2232,19-07-1994,19-07-1999,Group of the Party of European Socialists
124695,01-07-2014,01-07-2019,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
1723,17-07-1979,24-07-1989,Communist and Allies Group
28617,20-07-2004,13-07-2009,Union for Europe of the Nations Group
28617,14-07-2009,30-06-2014,Group of the European People's Party (Christian Democrats)
28617,01-11-2014,,Group of the European People's Party (Christian Democrats)
28359,20-07-2004,13-07-2009,Non-attached Members
1024,25-07-1989,03-11-1989,Liberal and Democratic Reformist Group
1024,20-07-1999,16-06-2002,Group of the European People's Party (Christian Democrats) and European Democrats
1199,25-07-1989,20-04-1993,Socialist Group
1199,21-04-1993,19-07-1999,Group of the Party of European Socialists
1791,01-01-1986,12-01-1986,Liberal and Democratic Reformist Group
955,02-11-1981,24-07-1989,Communist and Allies Group
955,25-07-1989,18-07-1994,Left Unity
955,16-01-1992,18-07-1994,Left Unity
955,19-07-1994,05-01-1995,Confederal Group of the European United Left
955,06-01-1995,19-07-1999,Confederal Group of the European United Left/Nordic Green Left
197499,02-07-2019,19-05-2022,Renew Europe Group
907,03-10-1983,23-07-1984,Socialist Group
907,15-06-1992,11-01-1993,Group for the European United Left
907,12-01-1993,20-04-1993,Socialist Group
907,21-04-1993,09-05-1994,Group of the Party of European Socialists
693,17-12-1981,23-07-1984,Group of the European People's Party (Christian-Democratic Group)
28508,20-07-2004,12-12-2019,Group of the Greens/European Free Alliance
4391,20-07-1999,10-06-2001,Group of the European People's Party (Christian Democrats) and European Democrats
4391,02-07-2019,12-10-2022,Group of the European People's Party (Christian Democrats)
807,01-01-1981,18-10-1981,Non-attached
197461,02-07-2019,,Group of the Greens/European Free Alliance
4306,20-07-1999,19-07-2004,Group of the Party of European Socialists
4306,20-07-2004,13-07-2009,Socialist Group in the European Parliament
36394,08-05-2006,13-07-2009,Group of the Alliance of Liberals and Democrats for Europe
185340,24-10-2016,01-07-2019,Group of the European People's Party (Christian Democrats)
197636,02-07-2019,,Group of the European People's Party (Christian Democrats)
1075,25-07-1989,18-07-1994,Technical Group of the European Right
190713,30-11-2017,,Group of the European People's Party (Christian Democrats)
22282,27-11-2001,19-07-2004,"Group of the European Liberal, Democrat and Reform Party"
2336,11-11-1998,19-07-1999,Group of the Party of European Socialists
191693,01-03-2018,01-07-2019,Group of the Alliance of Liberals and Democrats for Europe
191693,02-07-2019,,Renew Europe Group
204443,01-02-2020,,Non-attached Members
1792,18-01-1980,12-02-1987,Socialist Group
4250,20-07-1999,19-07-2004,Group of the European People's Party (Christian Democrats) and European Democrats
1500,24-07-1984,16-09-1987,Non-attached
1500,17-09-1987,17-11-1987,Technical Coordination and Defence of Independent Groups and Members
1500,18-11-1987,24-07-1989,Non-attached
1193,24-07-1984,24-07-1989,Group of the European People's Party (Christian-Democratic Group)
1193,25-07-1989,11-12-1991,Liberal and Democratic Reformist Group
1193,12-12-1991,21-04-1996,Group of the European People's Party (Christian-Democratic Group)
28921,20-07-2004,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
2113,19-07-1994,19-07-1999,Group of the Party of European Socialists
36390,08-05-2006,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
831,17-07-1979,23-07-1984,European Democratic Group
1450,24-07-1984,12-12-1985,Liberal and Democratic Group
1450,13-12-1985,18-07-1994,Liberal and Democratic Reformist Group
1450,19-07-1994,19-07-1999,"Group of the European Liberal, Democrat and Reform Party"
1692,19-08-1986,24-07-1989,Liberal and Democratic Reformist Group
1692,31-03-1993,18-07-1994,Group of the European People's Party (Christian-Democratic Group)
1692,22-04-1996,19-07-1999,Group of the European People's Party (Christian-Democratic Group)
1889,16-11-1993,18-07-1994,Group of the European People's Party (Christian-Democratic Group)
96989,14-07-2009,30-06-2014,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
36396,08-05-2006,13-07-2009,Group of the Alliance of Liberals and Democrats for Europe
36396,14-07-2009,14-03-2013,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
1748,24-07-1984,31-07-1988,Group of the European Right
1569,17-07-1979,23-07-1984,Group of the European People's Party (Christian-Democratic Group)
1569,24-07-1984,15-11-1987,Group of the European Right
1569,16-11-1987,24-07-1989,Non-attached
197584,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
4527,20-07-1999,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
1078,25-07-1989,20-11-1991,The Green Group in the European Parliament
1078,21-11-1991,18-07-1994,Liberal and Democratic Reformist Group
96887,14-07-2009,30-06-2014,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
2098,01-01-1995,10-11-1996,Group of the Party of European Socialists
1468,07-09-1981,18-07-1994,Group of the European People's Party (Christian-Democratic Group)
1182,25-07-1989,12-11-1991,The Green Group in the European Parliament
4242,20-07-1999,19-07-2004,Group of the Party of European Socialists
4242,20-07-2004,10-12-2008,Socialist Group in the European Parliament
4490,20-07-1999,19-07-2004,Group of the Party of European Socialists
1765,02-11-1981,18-09-1987,Communist and Allies Group
28227,20-07-2004,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
28227,14-07-2009,21-10-2013,Group of the European People's Party (Christian Democrats)
4252,20-07-1999,19-07-2004,Group of the Greens/European Free Alliance
2114,01-01-1995,19-07-1999,The Green Group in the European Parliament
2114,20-07-1999,19-07-2004,Group of the Greens/European Free Alliance
23805,18-04-2003,19-07-2004,Group of the Party of European Socialists
23805,20-07-2004,13-07-2009,Socialist Group in the European Parliament
23805,14-07-2009,30-06-2014,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
28587,20-07-2004,25-09-2007,Independence/Democracy Group
1817,12-11-1985,12-12-1985,Liberal and Democratic Group
1817,13-12-1985,24-07-1989,Liberal and Democratic Reformist Group
1817,17-12-1991,18-07-1994,Liberal and Democratic Reformist Group
1817,19-07-1994,19-07-1999,"Group of the European Liberal, Democrat and Reform Party"
1817,16-06-2003,19-07-2004,"Group of the European Liberal, Democrat and Reform Party"
23938,09-05-2003,09-07-2003,Non-attached
23938,10-07-2003,19-07-2004,Group of the Party of European Socialists
23938,20-07-2004,13-07-2009,Socialist Group in the European Parliament
23938,14-07-2009,30-06-2014,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
129073,03-11-2014,01-07-2019,Group of the Alliance of Liberals and Democrats for Europe
129073,02-07-2019,,Renew Europe Group
1028,25-07-1989,30-03-1993,Group of the European People's Party (Christian-Democratic Group)
1183,25-07-1989,20-04-1993,Socialist Group
1183,21-04-1993,19-07-2004,Group of the Party of European Socialists
1183,20-07-2004,13-07-2009,Socialist Group in the European Parliament
1183,14-07-2009,30-06-2014,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
2100,19-05-1994,18-07-1994,Group of the Party of European Socialists
2180,19-07-1994,19-07-1999,Group of the Party of European Socialists
967,17-06-1981,23-07-1984,Socialist Group
967,25-07-1989,20-04-1993,Socialist Group
967,21-04-1993,18-07-1994,Group of the Party of European Socialists
28221,20-07-2004,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
28221,14-07-2009,30-06-2014,Group of the European People's Party (Christian Democrats)
96900,14-07-2009,30-06-2014,Group of the European People's Party (Christian Democrats)
4360,20-07-1999,19-07-2004,Non-attached
113959,12-06-2012,01-07-2019,Confederal Group of the European United Left
113959,02-07-2019,31-01-2020,Group of the European United Left
1292,25-07-1989,19-07-1999,The Green Group in the European Parliament
1292,20-07-1999,19-07-2004,Group of the Greens/European Free Alliance
1874,25-01-1993,20-04-1993,Socialist Group
1874,21-04-1993,02-10-1998,Group of the Party of European Socialists
124964,01-07-2014,15-10-2014,Europe of Freedom and Direct Democracy Group
124964,16-10-2014,19-10-2014,Non-attached Members
124964,20-10-2014,01-07-2019,Europe of Freedom and Direct Democracy Group
4357,20-07-1999,04-02-2002,Group of the European People's Party (Christian Democrats) and European Democrats
4357,05-02-2002,16-06-2002,"Group of the European Liberal, Democrat and Reform Party"
1365,14-09-1987,18-07-1994,Liberal and Democratic Reformist Group
96847,14-07-2009,14-11-2010,Non-attached Members
96847,15-11-2010,01-07-2019,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
2243,19-07-1994,19-07-1999,Group of the European Radical Alliance
197531,02-07-2019,,Group of the Greens/European Free Alliance
33570,12-05-2005,30-06-2014,Group of the Alliance of Liberals and Democrats for Europe
799,17-07-1979,09-10-1988,Group of the European People's Party (Christian-Democratic Group)
2151,01-01-1995,04-10-1998,Group of the Party of European Socialists
23873,30-04-2003,19-07-2004,Non-attached
23873,20-07-2004,13-07-2009,Non-attached Members
23873,14-07-2009,30-06-2014,Group of the Alliance of Liberals and Democrats for Europe
97022,14-07-2009,01-07-2019,Group of the Alliance of Liberals and Democrats for Europe
2102,19-07-1994,19-07-1999,Group of the European People's Party (Christian-Democratic Group)
124796,01-07-2014,15-10-2014,Europe of Freedom and Direct Democracy Group
124796,16-10-2014,19-10-2014,Non-attached Members
124796,20-10-2014,12-02-2018,Europe of Freedom and Direct Democracy Group
124796,13-02-2018,16-04-2019,Non-attached Members
124796,17-04-2019,01-07-2019,Group of the Alliance of Liberals and Democrats for Europe
1525,07-07-1988,24-07-1989,Liberal and Democratic Reformist Group
188636,30-06-2017,31-01-2020,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
197570,02-07-2019,14-11-2022,Identity and Democracy Group
197612,02-07-2019,09-01-2020,Non-attached Members
197612,10-01-2020,31-01-2020,European Conservatives and Reformists Group
1753,24-07-1984,06-06-1988,Group of the European People's Party (Christian-Democratic Group)
1869,06-07-1992,18-07-1994,The Green Group in the European Parliament
1797,17-07-1979,24-07-1989,Group of the European People's Party (Christian-Democratic Group)
96842,14-07-2009,02-07-2023,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
4461,20-07-1999,19-07-2004,Union for Europe of the Nations Group
4461,20-07-2004,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
2115,01-01-1995,08-10-1995,Group of the European People's Party (Christian-Democratic Group)
28370,20-07-2004,13-07-2009,Group of the Alliance of Liberals and Democrats for Europe
28370,14-07-2009,30-06-2014,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
28161,20-07-2004,,Group of the Greens/European Free Alliance
1935,19-07-1994,19-07-1999,The Green Group in the European Parliament
1935,20-07-1999,25-10-2000,Group of the Greens/European Free Alliance
1935,26-10-2000,19-07-2004,Group of the Party of European Socialists
1935,20-07-2004,13-07-2009,Socialist Group in the European Parliament
1935,14-07-2009,30-06-2014,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
197773,02-07-2019,,European Conservatives and Reformists Group
23894,30-04-2003,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
23894,14-07-2009,01-07-2019,Group of the European People's Party (Christian Democrats)
197621,02-07-2019,,Group of the European People's Party (Christian Democrats)
93543,26-08-2008,13-07-2009,Group of the Alliance of Liberals and Democrats for Europe
28497,20-07-2004,13-07-2009,Independence/Democracy Group
28497,14-07-2009,30-06-2014,Europe of freedom and democracy Group
28497,01-07-2014,15-10-2014,Europe of Freedom and Direct Democracy Group
28497,16-10-2014,19-10-2014,Non-attached Members
28497,20-10-2014,07-12-2018,Europe of Freedom and Direct Democracy Group
28497,08-12-2018,15-01-2019,Non-attached Members
28497,16-01-2019,01-07-2019,Europe of Nations and Freedom Group
96879,14-07-2009,31-03-2011,Group of the European People's Party (Christian Democrats)
996,27-07-1989,25-10-1989,The Green Group in the European Parliament
96824,14-07-2009,26-10-2015,Group of the European People's Party (Christian Democrats)
96824,27-10-2015,04-07-2017,European Conservatives and Reformists Group
96824,04-07-2017,01-07-2019,European Conservatives and Reformists Group
125090,01-07-2014,01-07-2019,Non-attached Members
124928,01-07-2014,07-10-2014,Group of the Alliance of Liberals and Democrats for Europe
124928,08-10-2014,01-07-2019,European Conservatives and Reformists Group
198183,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
1488,17-02-1981,24-07-1989,Group of the European People's Party (Christian-Democratic Group)
4393,20-07-1999,13-07-2009,Group of the European People's Party (Christian Democrats) and European Democrats
4393,14-07-2009,14-03-2013,Group of the European People's Party (Christian Democrats)
938,17-07-1979,23-07-1984,Socialist Group
