mep_id,start_date,end_date,political_group
197483,02-07-2019,22-05-2024,Identity and Democracy Group
197483,23-05-2024,,Non-attached Members
99945,02-07-2019,,Group of the European People's Party (Christian Democrats)
204333,01-02-2020,,Group of the European People's Party (Christian Democrats)
124739,01-07-2014,01-07-2019,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
124739,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
97236,02-07-2019,10-01-2022,Group of the Greens/European Free Alliance
97236,11-01-2022,,Group of the Greens/European Free Alliance
124812,01-07-2014,15-10-2014,Europe of Freedom and Direct Democracy Group
124812,16-10-2014,19-10-2014,Non-attached Members
124812,20-10-2014,01-07-2019,Europe of Freedom and Direct Democracy Group
124812,02-07-2019,07-02-2024,Non-attached Members
124812,08-02-2024,,Renew Europe Group
197462,02-07-2019,,Group of the Greens/European Free Alliance
33997,26-09-2005,31-12-2006,Socialist Group in the European Parliament
33997,01-01-2007,09-12-2007,Socialist Group in the European Parliament
33997,10-12-2007,13-07-2009,Socialist Group in the European Parliament
33997,14-07-2009,06-06-2012,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
33997,07-06-2012,30-06-2014,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
33997,01-07-2014,31-10-2014,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
33997,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
38511,01-07-2014,14-06-2015,Non-attached Members
38511,15-06-2015,14-02-2018,Europe of Nations and Freedom Group
38511,16-02-2018,01-07-2019,Europe of Nations and Freedom Group
38511,02-07-2019,,Identity and Democracy Group
96713,14-07-2009,30-06-2014,European Conservatives and Reformists Group
96713,01-07-2014,01-07-2019,European Conservatives and Reformists Group
96713,02-07-2019,,European Conservatives and Reformists Group
96811,14-07-2009,30-06-2014,Group of the European People's Party (Christian Democrats)
96811,01-07-2014,01-07-2019,Group of the European People's Party (Christian Democrats)
96811,02-07-2019,,Group of the European People's Party (Christian Democrats)
197629,02-07-2019,01-02-2022,Identity and Democracy Group
197629,02-02-2022,,Non-attached Members
197413,02-07-2019,,Group of the European People's Party (Christian Democrats)
197677,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
96868,14-07-2009,30-06-2014,Group of the Greens/European Free Alliance
96868,01-07-2014,01-07-2019,Group of the Greens/European Free Alliance
96868,02-07-2019,,Group of the Greens/European Free Alliance
124828,01-07-2014,01-07-2019,Group of the European People's Party (Christian Democrats)
124828,02-07-2019,,Group of the European People's Party (Christian Democrats)
197781,02-07-2019,,Renew Europe Group
204336,01-02-2020,,Group of the European People's Party (Christian Democrats)
124831,01-07-2014,15-10-2014,Europe of Freedom and Direct Democracy Group
124831,16-10-2014,19-10-2014,Non-attached Members
124831,20-10-2014,01-07-2019,Europe of Freedom and Direct Democracy Group
124831,02-07-2019,28-04-2021,Non-attached Members
124831,29-04-2021,,Group of the European People's Party (Christian Democrats)
197590,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
197782,02-07-2019,15-12-2021,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
197782,16-12-2021,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
197842,02-07-2019,06-05-2024,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
197842,07-05-2024,,Non-attached Members
131507,05-03-2015,09-05-2017,Confederal Group of the European United Left
131507,10-05-2017,01-07-2019,Confederal Group of the European United Left
131507,02-07-2019,17-12-2020,Group of the European United Left
131507,18-12-2020,,The Left group in the European Parliament
197588,02-07-2019,,Renew Europe Group
197444,02-07-2019,,Renew Europe Group
97968,24-08-2009,15-09-2009,Group of the European People's Party (Christian Democrats)
97968,16-09-2009,30-06-2014,Group of the European People's Party (Christian Democrats)
97968,01-07-2014,17-10-2017,Group of the European People's Party (Christian Democrats)
97968,18-10-2017,01-07-2019,Group of the European People's Party (Christian Democrats)
97968,02-07-2019,24-01-2022,Group of the European People's Party (Christian Democrats)
97968,25-01-2022,,Group of the European People's Party (Christian Democrats)
197665,02-07-2019,18-10-2021,Renew Europe Group
197665,19-10-2021,,Renew Europe Group
124781,01-07-2014,01-07-2019,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
124781,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
204335,01-02-2020,,Group of the Greens/European Free Alliance
187917,02-07-2019,17-12-2020,Group of the European United Left
187917,18-12-2020,,The Left group in the European Parliament
124861,01-07-2014,01-07-2019,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
124861,02-07-2019,10-05-2023,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
124861,11-05-2023,,Group of the European People's Party (Christian Democrats)
197698,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
197491,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
124821,01-07-2014,01-07-2019,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
124821,05-09-2019,12-02-2020,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
124821,13-02-2020,18-10-2021,Renew Europe Group
124821,19-10-2021,,Renew Europe Group
197392,02-07-2019,,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament
1917,19-07-1994,19-07-1999,Group of the European People's Party (Christian-Democratic Group)
