id,type,activity_id,had_activity_type
eli/dl/event/MTG-PL-2024-01-15,Activity,MTG-PL-2024-01-15,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-01-16,Activity,MTG-PL-2024-01-16,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-01-17,Activity,MTG-PL-2024-01-17,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-01-18,Activity,MTG-PL-2024-01-18,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-01-25,Activity,MTG-PL-2024-01-25,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-02-05,Activity,MTG-PL-2024-02-05,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-02-06,Activity,MTG-PL-2024-02-06,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-02-07,Activity,MTG-PL-2024-02-07,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-02-08,Activity,MTG-PL-2024-02-08,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-02-26,Activity,MTG-PL-2024-02-26,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-02-27,Activity,MTG-PL-2024-02-27,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-02-28,Activity,MTG-PL-2024-02-28,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-02-29,Activity,MTG-PL-2024-02-29,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-03-11,Activity,MTG-PL-2024-03-11,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-03-12,Activity,MTG-PL-2024-03-12,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-03-13,Activity,MTG-PL-2024-03-13,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-03-14,Activity,MTG-PL-2024-03-14,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-04-10,Activity,MTG-PL-2024-04-10,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-04-11,Activity,MTG-PL-2024-04-11,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-04-22,Activity,MTG-PL-2024-04-22,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-04-23,Activity,MTG-PL-2024-04-23,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-04-24,Activity,MTG-PL-2024-04-24,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-04-25,Activity,MTG-PL-2024-04-25,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-07-16,Activity,MTG-PL-2024-07-16,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-07-17,Activity,MTG-PL-2024-07-17,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-07-18,Activity,MTG-PL-2024-07-18,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-07-19,Activity,MTG-PL-2024-07-19,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-09-16,Activity,MTG-PL-2024-09-16,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-09-17,Activity,MTG-PL-2024-09-17,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-09-18,Activity,MTG-PL-2024-09-18,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-09-19,Activity,MTG-PL-2024-09-19,def/ep-activities/PLENARY_SITTING
eli/dl/event/MTG-PL-2024-10-07,Activity,MTG-PL-2024-10-07,def/ep-activities/PLENARY_SITTING
