mep_id,first_name,last_name,gender,date_of_birth,date_of_death,hometown,country_of_representation
3,Annemarie,Kuhn,FEMALE,1937-05-09,,Ludwigshafen,DEU
9,Herbert W.,Köhler,MALE,1919-12-17,,Peiskretscham Kreis Gleiwitz,DEU
2,José María,Lafuente López,MALE,1921-05-18,,Barcelona,ESP
1,Georg,Jarzembowski,MALE,1947-02-03,,Braunschweig,DEU
35,Brigitte,Langenhagen,FEMALE,1939-12-08,,Hamburg,DEU
7,Heribert,Barrera i Costa,MALE,1917-07-06,,Barcelona,ESP
8,Agostino,Mantovani,MALE,1937-06-27,,Castellucchio,ITA
1395,The Lord,O'Hagan,MALE,1945-09-06,,London,GBR
96834,Iliana,Ivanova,FEMALE,1975-09-14,,Stara Zagora,BGR
573,Pierre,Billotte,MALE,,,,FRA
1344,Carles-Alfred,Gasòliba i Böhm,MALE,1945-11-22,,Barcelona,ESP
622,Arthur,Gailly,MALE,1892-03-20,,Wanfercée-Baulet,BEL
34482,Alexandru-Ioan,Morțun,MALE,1951-07-16,,Drobeta Tr. Severin,ROU
233862,Matjaž,Nemec,MALE,1980-04-10,,Šempeter pri Gorici,SVN
28175,Yannick,Vaugrenard,MALE,1950-06-25,,Trignac,FRA
1435,(Paddy) Patrick Joseph,Lalor,MALE,1926-07-19,2016-07-29,Dublin,IRL
97017,Ulrike,Lunacek,FEMALE,1957-05-26,,Krems a.d. Donau,AUT
111011,Anthea,McIntyre,FEMALE,1954-06-29,,London,GBR
124830,Marcus,Pretzell,MALE,1973-07-16,,Rinteln,DEU
679,Hughes,Tatilon,MALE,1909-11-16,1983-07-23,Marseille,FRA
28240,Helga,Trüpel,FEMALE,1958-07-21,,Moers,DEU
96898,Ioannis A.,Tsoukalas,MALE,1941-07-03,,Thessaloniki,GRC
4462,Clemente,Mastella,MALE,1947-02-05,,Ceppaloni (BN),ITA
28573,Nikolaos,Vakalis,MALE,1939-12-01,2017-03-23,Larisa,GRC
34174,Iles,Braghetto,MALE,1953-03-09,,San Giorgio delle Pertiche,ITA
2216,Françoise,Seillier,FEMALE,1945-01-30,,Nantes,FRA
325,Hermann,Kopf,MALE,1901-05-29,,Freiburg/Breisgau,DEU
2232,Axel,Schäfer,MALE,1952-08-03,,Frankfurt am Main,DEU
124695,Jan,Keller,MALE,1955-01-23,,Frýdek-Místek,CZE
1723,Robert,CHAMBEIRON,MALE,1915-05-22,2014-12-30,Paris,FRA
28617,Inese,Vaidere,FEMALE,1952-09-03,,Jelgavā,LVA
28359,Jana,Bobošíková,FEMALE,1964-08-29,,Praha,CZE
1024,Alain,Madelin,MALE,1946-03-26,,Paris,FRA
1199,José Manuel,Torres Couto,MALE,1947-02-01,,Porto,PRT
94,Wolfgang,Schwabe,MALE,1910-10-12,1978-01-03,Frankfurt (Mein),DEU
1791,Francisco Pinto,Balsemão,MALE,1937-01-01,,,PRT
955,Vassilis,Ephremidis,MALE,1915-12-31,2000-08-17,Athina,GRC
197499,Chrysoula,Zacharopoulou,FEMALE,1976-05-07,,Sparte,GRC
907,Gaetano,Cingari,MALE,1926-11-14,1994-05-09,Reggio Calabria,ITA
693,Alphonsine M.J.,PHLIX,FEMALE,1928-09-19,2011-12-21,Hasselt,BEL
1853,Albert,Kosler,MALE,1900-01-01,,¿,DEU
473,Roberto,Cantalupo,MALE,1891-01-18,,Napoli,ITA
28508,Alyn,Smith,MALE,1973-09-15,,Glasgow,GBR
4391,Silvio,Berlusconi,MALE,1936-09-29,2023-06-12,Milano,ITA
807,Ioannis,Katsafados,MALE,1935-05-09,,Pireas,GRC
197461,Katrin,Langensiepen,FEMALE,1979-10-10,,Langenhagen,DEU
4306,Gilles,Savary,MALE,1954-12-06,,Oradour sur Vayres,FRA
36394,Donato Tommaso,Veraldi,MALE,1941-01-12,,Soveria Simeri,ITA
185340,Ivica,Tolić,MALE,1968-09-01,2019-08-31,Imotski,HRV
197636,Ioan-Rareş,Bogdan,MALE,1974-09-17,,Ocna Mures,ROU
1075,Klaus-Peter,Köhler,MALE,1943-06-18,,Wscherau,DEU
190713,Lukas,Mandl,MALE,1979-07-12,,Wien,AUT
22282,Ole B.,Sørensen,MALE,1968-10-16,,Rudkøbing,DNK
2336,Gaetano,Carrozzo,MALE,1956-06-03,,Salerno,ITA
191693,Elsi,Katainen,FEMALE,1966-12-17,,Haapajärvi,FIN
204443,Clara,Ponsatí Obiols,FEMALE,1957-03-19,,Barcelona,ESP
1792,Fritz,Gautier,MALE,1950-01-17,2017-08-10,Norden,DEU
4250,Michel,Hansenne,MALE,1940-03-23,,Rotheux,BEL
1500,Jef L.E.,ULBURGHS,MALE,1922-06-09,2010-08-31,Zolder,BEL
1193,Robert E.V.,Hersant,MALE,1920-01-31,1996-04-21,Vertou (Loire atlantique),FRA
28921,Jaroslav,Zvěřina,MALE,1942-12-18,,Třebíč,CZE
2113,Andrea,Manzella,MALE,1933-12-08,,Palermo,ITA
36390,Armando,Veneto,MALE,1935-11-14,,Aversa (CE),ITA
831,The Lord,Harmar-Nicholls,MALE,1912-11-01,,Darlaston (West Midlands),GBR
457,Marius J.J.,van Amelsvoort,MALE,1930-08-21,,,NLD
1450,Florus A.,Wijsenbeek,MALE,1944-06-16,,Wassenaar,NLD
109,Camillo,Ripamonti,MALE,1919-05-25,,Gorgonzola (Milano),ITA
