id,type,activity_id,activity_start_date,decision_method,had_decision_outcome,had_voter_abstention,had_voter_against,had_voter_favor,meeting_activity_id
eli/dl/event/MTG-PL-2024-01-15-VOT-ITM-000005,Activity,MTG-PL-2024-01-15-VOT-ITM-000005,,,,,,,MTG-PL-2024-01-15
eli/dl/event/MTG-PL-2024-01-15-VOT-ITM-000004,Activity,MTG-PL-2024-01-15-VOT-ITM-000004,,,,,,,MTG-PL-2024-01-15
eli/dl/event/MTG-PL-2024-01-15-VOT-ITM-000003,Activity,MTG-PL-2024-01-15-VOT-ITM-000003,,,,,,,MTG-PL-2024-01-15
eli/dl/event/MTG-PL-2024-01-15-VOT-ITM-000006,Activity,MTG-PL-2024-01-15-VOT-ITM-000006,,,,,,,MTG-PL-2024-01-15
eli/dl/event/MTG-PL-2024-01-15-VOT-ITM-000002,Activity,MTG-PL-2024-01-15-VOT-ITM-000002,,,,,,,MTG-PL-2024-01-15
eli/dl/event/MTG-PL-2024-01-15-VOT-ITM-000001,Activity,MTG-PL-2024-01-15-VOT-ITM-000001,,,,,,,MTG-PL-2024-01-15
eli/dl/event/MTG-PL-2024-01-15-VOT-ITM-150124,Activity,MTG-PL-2024-01-15-VOT-ITM-150124,,,,,,,MTG-PL-2024-01-15
eli/dl/event/MTG-PL-2024-01-15-VOT-ITM-000007,Activity,MTG-PL-2024-01-15-VOT-ITM-000007,,,,,,,MTG-PL-2024-01-15
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939922,Activity,MTG-PL-2024-01-16-VOT-ITM-939922,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939947,Activity,MTG-PL-2024-01-16-VOT-ITM-939947,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939925,Activity,MTG-PL-2024-01-16-VOT-ITM-939925,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939938,Activity,MTG-PL-2024-01-16-VOT-ITM-939938,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939932,Activity,MTG-PL-2024-01-16-VOT-ITM-939932,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939918,Activity,MTG-PL-2024-01-16-VOT-ITM-939918,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939937,Activity,MTG-PL-2024-01-16-VOT-ITM-939937,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939939,Activity,MTG-PL-2024-01-16-VOT-ITM-939939,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939908,Activity,MTG-PL-2024-01-16-VOT-ITM-939908,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939927,Activity,MTG-PL-2024-01-16-VOT-ITM-939927,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939903,Activity,MTG-PL-2024-01-16-VOT-ITM-939903,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939920,Activity,MTG-PL-2024-01-16-VOT-ITM-939920,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939916,Activity,MTG-PL-2024-01-16-VOT-ITM-939916,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939946,Activity,MTG-PL-2024-01-16-VOT-ITM-939946,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939928,Activity,MTG-PL-2024-01-16-VOT-ITM-939928,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939910,Activity,MTG-PL-2024-01-16-VOT-ITM-939910,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939925-SPLIT-1,Activity,MTG-PL-2024-01-16-VOT-ITM-939925-SPLIT-1,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939903-RCV-2,Activity,MTG-PL-2024-01-16-VOT-ITM-939903-RCV-2,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939903-RCV-1,Activity,MTG-PL-2024-01-16-VOT-ITM-939903-RCV-1,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939918-RCV-1,Activity,MTG-PL-2024-01-16-VOT-ITM-939918-RCV-1,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939910-RCV-1,Activity,MTG-PL-2024-01-16-VOT-ITM-939910-RCV-1,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939910-SPLIT-1,Activity,MTG-PL-2024-01-16-VOT-ITM-939910-SPLIT-1,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939910-SEPARATE-1,Activity,MTG-PL-2024-01-16-VOT-ITM-939910-SEPARATE-1,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939908-RCV-1,Activity,MTG-PL-2024-01-16-VOT-ITM-939908-RCV-1,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939908-SEPARATE-1,Activity,MTG-PL-2024-01-16-VOT-ITM-939908-SEPARATE-1,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939908-SPLIT-1,Activity,MTG-PL-2024-01-16-VOT-ITM-939908-SPLIT-1,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939908-RCV-3,Activity,MTG-PL-2024-01-16-VOT-ITM-939908-RCV-3,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939908-RCV-2,Activity,MTG-PL-2024-01-16-VOT-ITM-939908-RCV-2,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939910-RCV-2,Activity,MTG-PL-2024-01-16-VOT-ITM-939910-RCV-2,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939910-SPLIT-2,Activity,MTG-PL-2024-01-16-VOT-ITM-939910-SPLIT-2,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-16-VOT-ITM-939925-RCV-1,Activity,MTG-PL-2024-01-16-VOT-ITM-939925-RCV-1,,,,,,,MTG-PL-2024-01-16
eli/dl/event/MTG-PL-2024-01-17-VOT-ITM-939940,Activity,MTG-PL-2024-01-17-VOT-ITM-939940,,,,,,,MTG-PL-2024-01-17
eli/dl/event/MTG-PL-2024-01-17-VOT-ITM-939944,Activity,MTG-PL-2024-01-17-VOT-ITM-939944,,,,,,,MTG-PL-2024-01-17
eli/dl/event/MTG-PL-2024-01-17-VOT-ITM-939911,Activity,MTG-PL-2024-01-17-VOT-ITM-939911,,,,,,,MTG-PL-2024-01-17
eli/dl/event/MTG-PL-2024-01-17-VOT-ITM-939966,Activity,MTG-PL-2024-01-17-VOT-ITM-939966,,,,,,,MTG-PL-2024-01-17
eli/dl/event/MTG-PL-2024-01-17-VOT-ITM-939909,Activity,MTG-PL-2024-01-17-VOT-ITM-939909,,,,,,,MTG-PL-2024-01-17
eli/dl/event/MTG-PL-2024-01-17-VOT-ITM-939941,Activity,MTG-PL-2024-01-17-VOT-ITM-939941,,,,,,,MTG-PL-2024-01-17
eli/dl/event/MTG-PL-2024-01-17-VOT-ITM-939929,Activity,MTG-PL-2024-01-17-VOT-ITM-939929,,,,,,,MTG-PL-2024-01-17
eli/dl/event/MTG-PL-2024-01-17-VOT-ITM-939906,Activity,MTG-PL-2024-01-17-VOT-ITM-939906,,,,,,,MTG-PL-2024-01-17
eli/dl/event/MTG-PL-2024-01-17-VOT-ITM-939923,Activity,MTG-PL-2024-01-17-VOT-ITM-939923,,,,,,,MTG-PL-2024-01-17
